Date,Target,Exposure,Repetitions,Total Integration Time
07/12/2020,C/2018 F4,300,6,1800
07/12/2020,C/2020 R7,300,9,2700
07/12/2020,P/2020 V3,300,3,900
10/12/2020,P/2020 V4,300,4,1200
10/12/2020,C/2018 F4,300,6,1800
10/12/2020,P/2020 V3,300,3,900
10/12/2020,C/2020 R7,300,6,1800
10/12/2020,C/2020 R7,200,6,1200
11/12/2020,C/2018 F4,300,12,3600
21/01/2021,P/2020 V3,300,7,2100
21/01/2021,C/2020 R7,300,4,1200
21/01/2021,C/2021 A7,300,3,900
21/01/2021,360502,300,7,2100
21/01/2021,C/2021 A6,300,7,2100
21/01/2021,189040,300,13,3900
21/01/2021,C/2021 A2,300,4,1200
11/02/2021,C/2021 A7,300,6,1800
11/02/2021,2009 CD,300,6,1800
11/02/2021,2021 CA1,300,6,1800
11/02/2021,2021 CM,300,6,1800
11/02/2021,2021 CP,300,4,1200
11/02/2021,2020 UB5,300,4,1200
11/02/2021,2021 CH,300,2,600
12/02/2021,C/2021 A7,300,6,1800
12/02/2021,2021 CD1,300,3,900
12/02/2021,2021 CD1,300,3,900
12/02/2021,C/2021 A6,300,6,1800
12/02/2021,2020 UB5,300,3,900
12/02/2021,2021 CM,300,6,1800
12/02/2021,2021 CH,300,6,1800
13/02/2021,C/2021 A7,300,12,3600
13/02/2021,C/2021 B3,300,3,900
13/02/2021,2021 CS,300,6,1800
13/02/2021,2021 CM,300,9,2700
13/02/2021,2021 CP,300,9,2700
13/02/2021,2021 CH,300,6,1800
16/02/2021,C/2021 A7,300,6,1800
16/02/2021,C/2021 B3,300,6,1800
16/02/2021,2009 CD,300,3,900
16/02/2021,2021 CS,300,9,2700
16/02/2021,2021 CA1,300,9,2700
16/02/2021,2020 UB5,300,3,900
17/02/2021,C/2021 B3,300,7,2100
17/02/2021,2009 CD,300,3,900
17/02/2021,2021 CD1,300,9,2700
17/02/2021,2021 CM,300,9,2700
17/02/2021,C/2021 A6,300,12,3600
17/02/2021,2020 UB5,300,3,900
18/02/2021,2021 CA1,300,6,1800
18/02/2021,C/2021 A7,300,6,1800
18/02/2021,C/2021 B3,300,6,1800
18/02/2021,2021 CD1,300,6,1800
18/02/2021,2021 CM,300,12,3600
18/02/2021,2021 CP,300,9,2700
18/02/2021,2021 CH,300,6,1800
